education,income,recency,mnt_wines,mnt_fruits,mnt_meat_products,mnt_fish_products,mnt_sweet_products,mnt_gold_prods,num_deals_purchases,num_web_purchases,num_catalog_purchases,num_store_purchases,num_web_visits_month,complain,response,age,family_size,total_spending,days_as_customer,offers_responded_to,parental_status,cluster
2,58138.0,58,635,88,546,172,88,88,3,8,10,4,7,0,1,67,1,1617,4460,1,0,0
2,46344.0,38,11,1,6,2,1,6,2,1,1,2,5,0,0,70,3,27,3910,0,1,1
2,71613.0,26,426,49,127,111,21,42,1,8,2,10,4,0,0,59,2,776,4109,0,0,0
2,26646.0,26,11,4,20,10,3,5,2,2,0,4,6,0,0,40,3,53,3936,0,1,1
4,58293.0,94,173,43,118,46,27,15,5,5,3,6,5,0,0,43,3,422,3958,0,1,2
3,62513.0,16,520,42,98,0,42,14,2,6,4,10,6,0,0,57,3,716,4090,0,1,2
2,55635.0,34,235,65,164,50,49,27,4,7,3,7,6,0,0,53,2,590,4390,0,1,2
4,33454.0,32,76,10,56,3,1,23,2,4,0,4,8,0,0,39,3,169,4214,0,1,1
4,30351.0,19,14,0,24,3,3,2,1,3,0,2,9,0,1,50,3,46,4185,1,1,1
4,5648.0,68,28,0,6,1,1,13,1,1,0,0,20,0,0,74,4,49,3905,1,1,1
2,51381.5,11,5,5,6,0,2,1,1,1,0,2,7,0,0,41,3,19,4023,0,1,1
0,7500.0,59,6,16,11,11,1,16,1,2,0,3,8,0,0,48,2,61,4390,0,0,1
2,63033.0,82,194,61,480,225,112,30,1,3,4,8,2,0,0,65,1,1102,4023,0,0,0
3,59354.0,53,233,2,53,3,5,14,3,6,1,5,6,0,0,72,3,310,4023,0,1,2
2,17323.0,38,3,14,17,6,1,5,1,1,0,3,8,0,0,37,2,46,4424,0,0,1
4,82800.0,23,1006,22,115,59,68,45,1,7,6,12,3,0,1,78,1,1315,4379,3,0,0
2,41850.0,51,53,5,19,2,13,4,3,3,0,3,8,0,0,44,4,96,4349,0,1,1
2,37760.0,20,84,5,38,150,12,28,2,4,1,6,7,0,0,78,2,317,4464,0,0,2
3,76995.0,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,75,3,1782,4255,1,1,2
1,33812.0,86,4,17,19,30,24,39,2,2,1,3,6,0,0,39,2,133,4400,0,1,1
2,37040.0,41,86,2,73,69,38,48,1,4,2,5,8,0,0,42,2,316,4487,0,0,1
2,2447.0,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,45,3,1730,4336,0,1,2
4,58607.0,63,867,0,86,0,0,19,3,2,3,9,8,0,0,75,3,972,4350,1,1,2
4,65324.0,0,384,0,102,21,32,5,3,6,2,9,4,0,0,70,3,544,3966,0,1,2
